agent_id,name,experience_years,joining_date,region_id,performance_rating,languages_known,specialisation,product_wise_conversion_rate,median_ticket_size,sales_cycle_efficiency,drop_off_rate_after_first_call,upsell_conversion_percentage,sla_adherence
AGT0028,Isha Deshpande,5,06-11-2021,RGN043,1.9,Kannada|English,Mixed,0.159,48409,0.48,0.13,0.44,0.86
AGT0029,Uday Saxena,7,12-05-2009,RGN040,2.3,Kannada|English,Mixed,0.244,50431,0.48,0.48,0.41,0.75
AGT0030,Priya Patel,1,14-08-2016,RGN050,1.7,Telugu|English,Endowment,0.083,34401,0.65,0.54,0.32,0.93
AGT0031,Pradeep Naik,7,28-04-2016,RGN036,2.3,Tamil|English,Mixed,0.216,52784,0.81,0.36,0.15,0.98
AGT0032,Prakash Reddy,2,28-02-2011,RGN016,2,Kannada|English,Mixed,0.141,29919,0.55,0.28,0.27,0.8
AGT0033,Pooja Tiwari,1,22-04-2014,RGN009,1.7,Tamil|Telugu,Endowment,0.149,24052,0.43,0.56,0.21,0.83
AGT0034,Lakshmi Saxena,20,21-11-2012,RGN050,4.3,Tamil|Telugu,Mixed,0.388,80096,0.7,0.5,0.37,0.91
AGT0035,Swati Srivastava,20,02-01-2020,RGN015,4.1,English,Mixed,0.388,85507,0.91,0.64,0.26,0.8
AGT0036,Deepak Patel,12,11-05-2015,RGN026,2.7,Hindi|Telugu|English,ULIP,0.294,58223,0.52,0.28,0.35,0.9
AGT0037,Aditi Hegde,3,20-07-2015,RGN025,1.4,Hindi|Telugu|English,Mixed,0.12,30341,0.52,0.14,0.43,0.98
AGT0038,Isha Singh,1,02-06-2008,RGN003,1.6,Telugu|English,Endowment,0.164,33179,0.71,0.22,0.33,0.98
AGT0039,Anjali Gowda,10,24-12-2011,RGN050,2.2,Oriya|Hindi,ULIP,0.278,52683,0.72,0.6,0.2,0.89
AGT0040,Sunita Deshpande,4,07-10-2011,RGN046,2.1,Telugu|English,Endowment,0.12,44656,0.84,0.41,0.07,0.88
AGT0041,Pooja Balaji,2,21-01-2024,RGN035,1.3,Hindi|Telugu|English,Mixed,0.145,26207,0.75,0.56,0.33,0.83
AGT0042,Rahul Krishnan,5,17-05-2022,RGN028,2,Oriya|Hindi,WholLife,0.187,43817,0.58,0.24,0.42,0.87
AGT0043,Meera Verma,1,02-07-2013,RGN018,1.6,Hindi|Telugu|English,Mixed,0.122,33947,0.5,0.22,0.37,0.79
AGT0044,Ananya Bose,18,15-04-2009,RGN022,3.9,English,WholLife,0.376,82464,0.71,0.23,0.24,0.89
AGT0045,Isha Pandey,3,08-07-2020,RGN046,2,Hindi|Telugu|English,ULIP,0.124,35625,0.66,0.39,0.22,0.94
AGT0046,Arjun Kapoor,10,04-03-2010,RGN048,2.5,Tamil|English,Mixed,0.227,54118,0.51,0.51,0.16,0.82
AGT0047,Kunal Agarwal,3,10-05-2009,RGN038,1.7,Oriya|Hindi,WholLife,0.193,42641,0.41,0.39,0.16,0.87
AGT0048,Anjali Sharma,5,05-01-2016,RGN004,2.2,English,Endowment,0.208,47333,0.66,0.29,0.44,0.91
AGT0049,Siddharth Deshpande,5,10-12-2017,RGN017,1.7,Tamil|English,ULIP,0.165,36213,0.85,0.62,0.08,0.85
AGT0050,Vinod Venkatesh,2,23-01-2010,RGN016,1.6,English,Mixed,0.154,36132,0.56,0.42,0.22,0.93
AGT0051,Gaurav Das,20,12-01-2019,RGN037,4.1,Tamil|English,ULIP,0.445,83404,0.53,0.4,0.11,0.89
AGT0052,Kunal Krishnan,12,09-11-2020,RGN027,2.5,Kannada|English,WholLife,0.233,60720,0.91,0.53,0.3,0.88
AGT0053,Rajesh Chakraborty,18,05-05-2008,RGN043,4,Telugu|English,ULIP,0.374,84610,0.43,0.54,0.29,0.78
AGT0054,Shweta Chakraborty,18,11-01-2014,RGN037,3.7,English,Mixed,0.389,85464,0.64,0.43,0.41,0.84
AGT0055,Geeta Shetty,7,02-10-2023,RGN048,2.4,Hindi|English,ULIP,0.178,52047,0.95,0.47,0.16,0.8
AGT0056,Sapna Pillai,18,26-01-2009,RGN003,3.8,English,Mixed,0.424,78557,0.93,0.36,0.21,0.78
AGT0057,Suresh Srivastava,1,20-06-2011,RGN021,1.9,Hindi|English,WholLife,0.106,31117,0.65,0.27,0.18,0.95
AGT0058,Pooja Patel,2,13-05-2015,RGN050,1.4,Hindi|Telugu|English,ULIP,0.146,34889,0.74,0.37,0.23,0.86
AGT0059,Arjun Verma,1,15-11-2015,RGN004,2.1,Kannada|English,WholLife,0.12,34440,0.79,0.27,0.06,0.87
AGT0060,Ramesh Joshi,3,13-07-2019,RGN027,1.9,Oriya|Hindi,ULIP,0.141,30924,0.68,0.25,0.38,0.99
AGT0061,Vijay Singh,4,26-05-2016,RGN031,2.3,Oriya|Hindi,Mixed,0.129,41820,0.82,0.57,0.19,0.87
AGT0062,Ravi Joshi,3,21-10-2019,RGN033,1.8,English,WholLife,0.179,38501,0.59,0.4,0.27,0.73
AGT0063,Vinod Tripathi,15,14-03-2024,RGN030,2.8,English,Endowment,0.332,68826,0.79,0.55,0.2,0.96
AGT0064,Rekha Gowda,3,01-11-2007,RGN043,1.7,Telugu|English,Endowment,0.145,29606,0.88,0.34,0.26,0.9
AGT0065,Meera Desai,3,12-12-2010,RGN030,2.1,Telugu|English,Endowment,0.102,41804,0.87,0.57,0.39,0.53
AGT0066,Amrita Bose,5,07-11-2018,RGN025,2.2,Oriya|Hindi,Mixed,0.212,35588,0.95,0.51,0.22,0.89
AGT0067,Sunil Verma,2,20-09-2011,RGN007,1.3,Hindi|English,ULIP,0.137,37370,0.56,0.31,0.11,0.91
AGT0068,Geeta Saxena,12,02-09-2018,RGN034,3.1,Kannada|English,Endowment,0.247,57293,0.67,0.42,0.14,0.91
AGT0069,Swati Hegde,1,15-06-2011,RGN041,1.3,English,ULIP,0.155,30622,0.92,0.64,0.17,0.8
AGT0070,Rahul Iyer,20,21-02-2024,RGN028,3.6,Hindi|Telugu|English,WholLife,0.37,86302,0.72,0.65,0.17,0.85
AGT0071,Ramesh Mishra,12,22-02-2016,RGN043,3.2,Kannada|English,ULIP,0.321,68208,0.73,0.29,0.3,0.73
AGT0072,Sneha Gupta,2,28-01-2019,RGN040,1.5,English,Endowment,0.143,40801,0.42,0.3,0.1,0.93
AGT0073,Rohit Rajan,1,17-03-2013,RGN019,2,Tamil|English,Endowment,0.078,31837,0.54,0.55,0.24,0.84
AGT0074,Vikram Agarwal,15,28-02-2008,RGN019,3.7,Tamil|Telugu,ULIP,0.322,66233,0.93,0.54,0.2,0.82
AGT0075,Karan Gowda,10,30-01-2020,RGN026,2.6,Hindi|Telugu|English,Mixed,0.237,62271,0.46,0.23,0.06,0.62
AGT0076,Lakshmi More,10,22-09-2020,RGN036,2.6,Tamil|English,ULIP,0.264,57606,0.42,0.12,0.45,0.89
AGT0077,Shweta Hegde,12,15-01-2020,RGN008,2.9,Tamil|English,Endowment,0.296,62078,0.89,0.46,0.38,0.96
AGT0078,Prakash Bose,1,12-12-2014,RGN040,2,Telugu|English,ULIP,0.134,26559,0.94,0.3,0.41,0.98
AGT0079,Priya Nair,3,27-06-2023,RGN042,2,Hindi|English,Endowment,0.192,42894,0.43,0.28,0.45,0.83
AGT0080,Geeta Agarwal,1,28-03-2023,RGN037,1.4,Tamil|English,Mixed,0.086,26538,0.83,0.43,0.16,0.95
AGT0081,Aryan Sharma,15,31-07-2005,RGN010,3.2,Kannada|English,Endowment,0.315,79195,0.72,0.11,0.16,0.87
AGT0082,Rekha Gowda,7,13-02-2013,RGN009,1.9,Kannada|English,ULIP,0.223,53747,0.92,0.12,0.36,0.87
AGT0083,Nikhil Pillai,3,03-01-2024,RGN043,2,English,ULIP,0.101,36847,0.79,0.34,0.41,0.85
AGT0084,Uday Kumar,1,20-04-2017,RGN021,1.5,Oriya|Hindi,WholLife,0.127,32590,0.65,0.43,0.09,0.75
AGT0085,Prakash Agarwal,3,25-08-2014,RGN045,1.8,English,Mixed,0.167,32522,0.62,0.5,0.18,0.9
AGT0086,Ananya Nair,3,04-07-2006,RGN021,1.5,Telugu|English,Endowment,0.164,36770,0.81,0.3,0.1,0.83
AGT0087,Geeta Kulkarni,10,06-12-2012,RGN004,3.1,Tamil|Telugu,WholLife,0.294,56730,0.88,0.5,0.44,0.88
AGT0088,Harsha Iyer,7,26-10-2015,RGN039,2.2,Hindi|Telugu|English,Mixed,0.176,51759,0.46,0.25,0.14,0.76
AGT0089,Aditi Patil,18,27-06-2017,RGN028,4.1,Oriya|Hindi,Mixed,0.381,84529,0.42,0.25,0.35,0.98
AGT0090,Bhavna Jadhav,5,25-07-2006,RGN022,2.6,Telugu|English,Endowment,0.182,41566,0.81,0.22,0.22,0.78
AGT0091,Ananya Patel,1,17-05-2018,RGN022,1.3,Hindi|English,WholLife,0.143,32299,0.77,0.25,0.31,0.81
AGT0092,Pradeep Rao,10,28-09-2012,RGN032,2.5,English,Endowment,0.275,51864,0.69,0.27,0.14,0.84
AGT0093,Kunal Kumar,12,25-09-2010,RGN039,2.6,English,Endowment,0.307,68520,0.81,0.2,0.2,0.54
AGT0094,Aditya Pillai,7,23-08-2021,RGN046,1.9,Telugu|English,WholLife,0.162,55119,0.87,0.42,0.28,0.88
AGT0095,Yash Desai,12,08-11-2008,RGN046,2.9,Hindi|Telugu|English,Mixed,0.232,61321,0.45,0.56,0.15,0.81
AGT0096,Vinod Mehta,5,21-06-2012,RGN038,1.7,Telugu|English,WholLife,0.2,38630,0.69,0.21,0.36,0.75
AGT0097,Divya Shah,5,28-09-2010,RGN023,2.2,Telugu|English,Endowment,0.149,37399,0.5,0.53,0.25,0.94
AGT0098,Geeta Jadhav,4,01-04-2012,RGN049,1.8,English,Mixed,0.174,42232,0.44,0.34,0.17,0.88
AGT0099,Akash Chaudhary,1,05-11-2005,RGN018,2,Telugu|English,ULIP,0.096,30404,0.75,0.64,0.09,0.82
AGT0100,Prakash Shetty,1,03-12-2005,RGN039,1.8,Hindi|Telugu|English,Mixed,0.16,35106,0.73,0.38,0.43,0.85
AGT0101,Sneha Shah,1,26-04-2016,RGN029,1.2,English,WholLife,0.163,24381,0.95,0.39,0.29,0.96
AGT0102,Akash Jadhav,7,30-05-2018,RGN024,2.5,Telugu|English,Mixed,0.232,52123,0.58,0.41,0.2,0.8
AGT0103,Sapna Kulkarni,3,30-10-2006,RGN017,1.5,Hindi|Telugu|English,Mixed,0.182,34461,0.57,0.46,0.31,0.9
AGT0104,Meera Singh,5,04-10-2022,RGN009,2.3,Telugu|English,WholLife,0.199,45542,0.76,0.33,0.19,0.97
AGT0105,Harsha Singh,18,22-04-2009,RGN024,3.3,Oriya|Hindi,WholLife,0.415,81967,0.86,0.16,0.36,0.98
AGT0106,Sarika Saxena,3,10-12-2007,RGN048,1.5,Tamil|English,WholLife,0.183,39125,0.86,0.52,0.37,0.74
AGT0107,Shruti Mishra,4,18-12-2014,RGN011,2.2,English,WholLife,0.195,35891,0.53,0.23,0.44,0.74
AGT0108,Kunal Saxena,12,05-04-2022,RGN031,2.9,Tamil|Telugu,Mixed,0.328,63564,0.93,0.55,0.37,0.78
AGT0109,Uday Venkatesh,2,21-04-2007,RGN009,2.1,Oriya|Hindi,Mixed,0.184,35085,0.45,0.19,0.23,0.74
AGT0110,Poonam Verma,1,03-11-2012,RGN033,1.5,Tamil|Telugu,Endowment,0.147,37493,0.68,0.23,0.45,0.84
AGT0111,Vishal Joshi,3,09-07-2012,RGN024,1.5,Oriya|Hindi,ULIP,0.179,39648,0.9,0.36,0.38,0.81
AGT0112,Gaurav Joshi,2,28-09-2010,RGN049,1.8,Tamil|Telugu,ULIP,0.171,26311,0.46,0.26,0.17,0.85
AGT0113,Sunil Balaji,18,08-10-2023,RGN004,3.8,Hindi|English,Mixed,0.402,75816,0.75,0.42,0.34,0.9
AGT0114,Suresh Nair,12,26-11-2019,RGN019,3,Hindi|Telugu|English,Endowment,0.287,59068,0.44,0.39,0.25,0.89
AGT0115,Karan Verma,7,17-05-2013,RGN033,2.2,Telugu|English,Mixed,0.159,47338,0.59,0.5,0.3,0.83
AGT0116,Zara More,15,05-08-2012,RGN050,3,English,Endowment,0.279,73945,0.94,0.36,0.12,0.93
AGT0117,Vishal Kapoor,12,25-12-2005,RGN009,3.3,Hindi|Telugu|English,Mixed,0.257,59302,0.91,0.38,0.45,0.67
AGT0118,Akash More,2,07-07-2022,RGN035,1.6,Telugu|English,Endowment,0.109,40125,0.84,0.34,0.21,0.74
AGT0119,Poonam Venkatesh,18,29-03-2013,RGN029,3.4,Telugu|English,Endowment,0.37,82151,0.8,0.14,0.29,0.83
AGT0120,Prakash Patil,5,16-11-2011,RGN012,2.3,Tamil|English,ULIP,0.174,39843,0.78,0.29,0.07,0.81
AGT0121,Nandini Rajan,12,10-02-2014,RGN023,3.2,Tamil|English,ULIP,0.238,66445,0.92,0.18,0.29,0.84
AGT0122,Sarika Joshi,18,23-09-2005,RGN029,3.8,Hindi|Telugu|English,WholLife,0.356,83293,0.6,0.52,0.28,0.51
AGT0123,Vijay Shah,3,01-08-2005,RGN034,1.9,Tamil|Telugu,WholLife,0.12,30858,0.9,0.16,0.36,0.81
AGT0124,Arjun Singh,1,28-06-2009,RGN046,2,English,WholLife,0.134,31047,0.49,0.49,0.45,0.99
AGT0125,Kunal Pandey,2,28-02-2017,RGN044,2.1,Tamil|English,WholLife,0.151,35011,0.84,0.38,0.1,0.99
AGT0126,Nandini Krishnan,4,02-11-2017,RGN013,2.3,Tamil|English,Mixed,0.124,41077,0.74,0.15,0.17,0.79
AGT0127,Manoj More,15,24-10-2007,RGN046,2.9,English,Mixed,0.357,66208,0.77,0.29,0.4,0.87
AGT0128,Ramesh Rao,15,30-03-2006,RGN050,3.3,Oriya|Hindi,Endowment,0.318,79921,0.49,0.28,0.33,0.88
AGT0129,Siddharth Naik,1,28-05-2009,RGN023,1.4,Oriya|Hindi,WholLife,0.15,27105,0.74,0.15,0.31,0.86
AGT0130,Ramesh Shetty,5,28-07-2012,RGN038,1.6,Hindi|English,Mixed,0.197,44914,0.44,0.62,0.36,0.77
AGT0131,Anil Jadhav,4,03-03-2016,RGN017,2,Oriya|Hindi,Mixed,0.172,32496,0.67,0.54,0.32,0.93
AGT0132,Gaurav Tiwari,2,02-06-2015,RGN020,1.8,Hindi|Telugu|English,Endowment,0.124,33933,0.87,0.28,0.45,0.91
AGT0133,Isha Krishnan,1,28-02-2012,RGN023,1.2,English,WholLife,0.116,24739,0.54,0.15,0.17,0.76
AGT0134,Manoj Kapoor,3,05-03-2021,RGN025,2.1,English,Endowment,0.176,38464,0.95,0.36,0.4,0.84
AGT0135,Sapna Dubey,20,29-10-2009,RGN032,3.4,Oriya|Hindi,Mixed,0.396,83944,0.67,0.59,0.31,0.71
AGT0136,Varun Chaudhary,3,07-12-2010,RGN031,2.1,Hindi|Telugu|English,ULIP,0.138,43458,0.42,0.13,0.27,0.73
AGT0137,Zara Desai,5,11-04-2011,RGN024,2.3,Telugu|English,Mixed,0.17,44008,0.47,0.15,0.2,0.75
AGT0138,Rekha Gupta,10,02-01-2014,RGN022,2.2,Tamil|English,Endowment,0.22,58341,0.79,0.54,0.26,0.83
AGT0139,Nikhil Desai,4,24-08-2008,RGN010,2.2,Oriya|Hindi,WholLife,0.223,37218,0.73,0.38,0.25,0.86
AGT0140,Pooja Gowda,20,17-06-2007,RGN032,3.7,Hindi|English,ULIP,0.387,91039,0.73,0.25,0.31,0.81
AGT0141,Siddharth Desai,20,04-10-2016,RGN050,4.2,Tamil|Telugu,ULIP,0.408,82793,0.48,0.47,0.06,0.79
AGT0142,Gaurav Tripathi,3,27-06-2020,RGN045,1.9,English,WholLife,0.137,35765,0.88,0.5,0.07,0.73
AGT0143,Priya Hegde,5,19-11-2008,RGN009,1.9,Hindi|Telugu|English,Mixed,0.195,40140,0.77,0.58,0.32,0.88
AGT0144,Shweta Pandey,3,17-01-2010,RGN045,2.1,Kannada|English,Endowment,0.123,33890,0.78,0.37,0.24,0.86
AGT0145,Sandeep Saxena,3,05-03-2020,RGN036,2.3,Tamil|Telugu,WholLife,0.124,38395,0.85,0.63,0.37,0.94
AGT0146,Karan Subramanian,1,18-09-2019,RGN019,1.3,Oriya|Hindi,ULIP,0.1,30247,0.91,0.48,0.1,0.71
AGT0147,Siddharth Agarwal,7,23-01-2010,RGN040,1.9,Tamil|Telugu,ULIP,0.222,49700,0.58,0.36,0.32,0.79
AGT0148,Rahul More,5,02-09-2015,RGN009,1.8,Oriya|Hindi,Endowment,0.182,49428,0.58,0.46,0.41,0.62
AGT0149,Anil Shah,1,17-05-2014,RGN006,2.1,Hindi|English,ULIP,0.172,25868,0.95,0.32,0.25,0.79
AGT0150,Anjali Tiwari,3,09-07-2018,RGN048,1.6,English,ULIP,0.096,38305,0.89,0.17,0.25,0.97
AGT0151,Uday Shah,18,09-10-2010,RGN018,3.2,Hindi|Telugu|English,Endowment,0.393,84621,0.83,0.41,0.35,0.76
AGT0152,Ananya Srivastava,2,10-05-2012,RGN012,1.9,Tamil|English,Mixed,0.179,34442,0.94,0.36,0.42,0.9
AGT0153,Varun Shetty,2,24-01-2018,RGN001,1.3,Hindi|Telugu|English,WholLife,0.193,30947,0.78,0.13,0.1,0.79
AGT0154,Nandini Desai,5,14-08-2011,RGN020,1.8,Tamil|English,WholLife,0.194,45464,0.66,0.35,0.45,0.91
AGT0155,Zara Malhotra,20,24-11-2019,RGN024,4.2,Telugu|English,Mixed,0.426,93139,0.69,0.39,0.19,0.87
AGT0156,Deepa Kumar,3,12-05-2008,RGN037,2.2,English,Mixed,0.115,37792,0.46,0.21,0.28,0.95
AGT0157,Priya Shetty,10,27-04-2014,RGN006,2.3,English,ULIP,0.27,58409,0.77,0.27,0.06,0.85
AGT0158,Tanvi Reddy,12,23-09-2012,RGN017,3,Hindi|English,Mixed,0.237,62941,0.91,0.14,0.42,0.92
AGT0159,Kritika Tripathi,2,28-06-2019,RGN003,1.6,Tamil|Telugu,Endowment,0.172,37948,0.65,0.6,0.2,0.78
AGT0160,Arjun Shah,10,19-10-2012,RGN006,3.2,Tamil|Telugu,Mixed,0.235,64094,0.69,0.5,0.14,0.9
AGT0161,Sandeep Saxena,4,07-07-2014,RGN001,2.3,Kannada|English,Mixed,0.195,40920,0.65,0.19,0.13,0.98
AGT0162,Isha Malhotra,7,09-05-2005,RGN047,1.9,Hindi|English,Mixed,0.216,55479,0.65,0.47,0.4,0.74
AGT0163,Vinod Patel,7,16-05-2024,RGN016,2,Oriya|Hindi,Endowment,0.23,53359,0.53,0.6,0.28,0.83
AGT0164,Suresh Venkatesh,5,19-03-2008,RGN037,1.8,Oriya|Hindi,WholLife,0.149,49356,0.55,0.41,0.29,0.9
AGT0165,Shweta More,1,22-09-2012,RGN048,1.8,Hindi|Telugu|English,Mixed,0.121,23768,0.78,0.32,0.17,0.89
AGT0166,Yash Krishnan,15,28-03-2008,RGN012,3.7,Tamil|Telugu,Endowment,0.336,76592,0.93,0.41,0.1,0.85
AGT0167,Ananya Hegde,3,28-04-2013,RGN016,2.1,Kannada|English,ULIP,0.206,42879,0.43,0.31,0.29,0.82
AGT0168,Rahul Malhotra,2,13-11-2009,RGN003,2.1,Hindi|Telugu|English,Mixed,0.168,35156,0.57,0.6,0.13,0.78
AGT0169,Uday Malhotra,1,23-07-2018,RGN013,1.5,Kannada|English,Mixed,0.172,34397,0.7,0.53,0.2,0.76
AGT0170,Anjali Subramanian,7,15-06-2015,RGN035,2.6,Hindi|Telugu|English,WholLife,0.206,49147,0.9,0.3,0.22,0.81
AGT0171,Varun Tripathi,10,28-12-2017,RGN037,2.5,Kannada|English,ULIP,0.226,59568,0.58,0.31,0.38,0.92
AGT0172,Kritika More,1,17-12-2015,RGN032,1.9,English,WholLife,0.091,36460,0.49,0.54,0.12,0.98
AGT0173,Aditya Reddy,5,02-10-2016,RGN047,2.5,Hindi|English,Mixed,0.224,35962,0.82,0.33,0.39,0.78
AGT0174,Shruti Jadhav,2,11-05-2006,RGN015,1.9,English,Endowment,0.144,32114,0.76,0.11,0.26,0.53
AGT0175,Rekha Deshpande,7,21-05-2005,RGN027,2.3,Tamil|English,WholLife,0.209,45697,0.46,0.15,0.11,0.62
AGT0176,Nandini Srivastava,2,10-10-2006,RGN013,1.7,Kannada|English,WholLife,0.117,32502,0.94,0.22,0.32,0.8
AGT0177,Sanjay Subramanian,10,17-06-2013,RGN006,2.3,Hindi|English,ULIP,0.23,56213,0.79,0.15,0.39,0.95
AGT0178,Gaurav Shetty,4,26-02-2010,RGN042,2,Hindi|English,ULIP,0.199,32697,0.91,0.48,0.16,0.88
AGT0179,Bhavna Srivastava,18,02-03-2018,RGN035,4.1,Oriya|Hindi,WholLife,0.322,77394,0.49,0.23,0.38,0.74
AGT0180,Tanvi Nair,2,24-09-2022,RGN025,1.7,Hindi|Telugu|English,Mixed,0.156,28292,0.43,0.34,0.39,0.87
AGT0181,Aditi Jadhav,3,27-04-2012,RGN022,1.6,English,Mixed,0.135,41673,0.67,0.3,0.43,0.89
AGT0182,Yash Bose,1,17-08-2011,RGN028,1.8,Telugu|English,Mixed,0.074,33135,0.55,0.31,0.36,0.88
AGT0183,Nandini Chakraborty,18,23-12-2014,RGN010,3.3,Telugu|English,ULIP,0.362,79050,0.5,0.35,0.27,0.81
AGT0184,Manoj Saxena,15,06-08-2022,RGN027,2.8,Tamil|Telugu,Mixed,0.284,74798,0.61,0.15,0.41,0.75
AGT0185,Kavya Balaji,3,03-10-2011,RGN016,1.5,Tamil|English,Mixed,0.123,33405,0.64,0.33,0.24,0.77
AGT0186,Anjali Singh,7,09-04-2015,RGN005,2.1,Tamil|Telugu,Mixed,0.236,44203,0.58,0.44,0.37,0.98
AGT0187,Shweta Kapoor,15,13-07-2018,RGN022,3.3,Tamil|English,Mixed,0.289,70253,0.93,0.63,0.17,0.84
AGT0188,Vishal Srivastava,5,25-04-2023,RGN045,2,Kannada|English,Endowment,0.158,39592,0.73,0.4,0.32,0.98
AGT0189,Tanvi Reddy,5,24-08-2023,RGN036,2.4,Tamil|Telugu,Endowment,0.169,39773,0.77,0.18,0.17,0.66
AGT0190,Sapna Srivastava,3,01-10-2015,RGN017,1.9,Tamil|Telugu,Mixed,0.102,38796,0.7,0.53,0.19,0.92
AGT0191,Mohit Mehta,1,29-11-2019,RGN035,1.8,Hindi|English,ULIP,0.142,33774,0.71,0.45,0.31,0.97
AGT0192,Rekha Venkatesh,18,24-12-2009,RGN049,3.7,Kannada|English,ULIP,0.321,78239,0.65,0.32,0.36,0.94
AGT0193,Rajesh Nair,18,01-05-2014,RGN038,3.3,Tamil|English,ULIP,0.368,78840,0.59,0.29,0.36,0.77
AGT0194,Amrita Pandey,7,26-02-2012,RGN034,1.9,Telugu|English,Mixed,0.227,48412,0.41,0.29,0.09,0.85
AGT0195,Sanjay Pillai,3,04-06-2012,RGN011,2.3,Kannada|English,Mixed,0.124,31623,0.84,0.45,0.12,0.92
AGT0196,Pradeep Saxena,3,14-04-2018,RGN043,1.4,Kannada|English,Mixed,0.183,36365,0.51,0.51,0.37,0.74
AGT0197,Priya Rao,10,03-06-2009,RGN005,2.5,English,Mixed,0.241,55340,0.69,0.45,0.29,0.94
AGT0198,Zara Deshpande,18,14-11-2008,RGN040,3.9,Oriya|Hindi,WholLife,0.405,84114,0.91,0.42,0.32,0.76
AGT0199,Neha Tripathi,18,16-06-2016,RGN021,3.8,Tamil|Telugu,Endowment,0.357,76316,0.63,0.37,0.26,0.81
AGT0200,Manoj Menon,12,13-03-2009,RGN042,3.1,Hindi|Telugu|English,Endowment,0.279,58298,0.92,0.37,0.13,0.78
AGT0201,Uday Menon,7,28-04-2014,RGN025,2.3,Telugu|English,Mixed,0.196,49056,0.71,0.54,0.14,0.86
