policy_id,customer_id,policy_type_code,region_id,current_agent_id,nominee_name,sum_assured,premium_amount,policy_start_date,date_of_purchase,purchase_quarter,purchase_year,purchase_month,policy_end_date,date_of_maturity,status,last_paid_date,premium_payment_term,policy_term,loan_eligible,lock_in_period_months,claim_reason,underwriting_expenses,surrender_amount,total_premium_paid,payment_gap_months,amount_withdrawn,maturity_amount,total_premium_payable,fraud_risk_flag
POL0000035,CUST008094,PP02,RGN043,AGT0167,Divya Dubey,1192397,49370,2024-01-10,2024-01-04,Q1,2024,1,2044-01-10,2044-01-10,Active,2025-06-03,10,20,N,0,,3990,0,69940.83,0,0,0,493700,N
POL0000036,CUST009586,PP04,RGN007,AGT0046,Karan Patel,4648770,102558,2022-12-01,2022-12-01,Q4,2022,12,2036-12-01,2036-12-01,Lapsed,2025-05-19,8,14,N,60,,14752,0,256395.0,0,0,0,820464,N
POL0000037,CUST004222,PP05,RGN044,AGT0004,Anil Hegde,550974,20325,2020-05-07,2020-05-04,Q2,2020,5,2025-05-07,2025-05-07,Matured,2025-04-11,5,5,N,60,,3868,0,101625.0,0,0,230030,101625,N
POL0000038,CUST006222,PP09,RGN020,AGT0283,Aditya Pillai,2651388,18582,2023-07-06,2023-07-01,Q3,2023,7,2029-07-06,2029-07-06,Active,2025-05-26,5,6,N,60,,3527,0,35615.5,0,0,0,92910,N
POL0000039,CUST002677,PP04,RGN045,AGT0188,Manoj Patel,561524,96960,2021-08-22,2021-08-16,Q3,2021,8,2035-08-22,2035-08-22,Active,2025-06-02,6,14,N,60,,17738,0,371680.0,0,0,0,581760,N
POL0000040,CUST002884,PP04,RGN023,AGT0181,Aryan Das,5236830,110453,2013-12-24,2013-12-19,Q4,2013,12,2027-12-24,2027-12-24,Active,2022-11-07,9,14,N,60,,12440,0,994077.0,0,254547,0,994077,N
POL0000041,CUST006781,PP07,RGN038,AGT0270,Priya Dubey,2078070,64234,2022-11-19,2022-11-12,Q4,2022,11,2051-11-19,2051-11-19,Surrendered,2025-06-06,25,29,N,0,,11092,49781,165937.83,0,0,0,1605850,N
POL0000042,CUST000456,PP08,RGN035,AGT0045,Poonam Deshpande,623853,55362,2017-10-12,2017-10-09,Q4,2017,10,2038-10-12,2038-10-12,Active,2025-05-03,21,21,Y,0,,10603,0,424442.0,0,0,0,1162602,N
POL0000043,CUST007899,PP09,RGN020,AGT0076,Deepak Pandey,13791280,17964,2023-05-01,2023-04-24,Q2,2023,5,2029-05-01,2029-05-01,Active,2025-05-20,6,6,N,60,,2276,0,37425.0,0,0,0,107784,N
POL0000044,CUST003185,PP06,RGN002,AGT0060,Sapna Iyer,3124143,48382,2013-04-29,2013-04-22,Q2,2013,4,2036-04-29,2036-04-29,Active,2025-02-25,12,23,Y,0,,6943,0,580584.0,0,0,0,580584,Y
POL0000045,CUST005614,PP06,RGN009,AGT0087,Kavya Menon,177823,59167,2011-02-19,2011-02-15,Q1,2011,2,2032-02-19,2032-02-19,Active,2024-12-07,14,21,Y,0,,11116,0,828338.0,0,0,0,828338,N
POL0000046,CUST005161,PP06,RGN027,AGT0220,Siddharth Kulkarni,721554,57109,2020-06-19,2020-06-14,Q2,2020,6,2050-06-19,2050-06-19,Active,2025-05-24,16,30,Y,0,,6354,0,285545.0,0,0,0,913744,N
POL0000047,CUST007264,PP03,RGN030,AGT0048,Sunita Pillai,2997855,18269,2012-12-08,2012-12-02,Q4,2012,12,2032-12-08,2032-12-08,Active,2019-11-02,7,20,N,60,,1951,0,127883.0,0,0,0,127883,N
POL0000048,CUST003446,PP09,RGN045,AGT0249,Siddharth Shetty,4172174,112859,2010-07-15,2010-07-15,Q3,2010,7,2015-07-15,2015-07-15,Matured,2015-06-19,5,5,N,60,,13922,0,564295.0,0,0,1378567,564295,N
POL0000049,CUST007474,PP06,RGN028,AGT0275,Yash Kulkarni,2258240,63244,2018-03-31,2018-03-25,Q1,2018,3,2053-03-31,2053-03-31,Lapsed,2024-11-24,29,35,Y,0,,5914,0,426897.0,6,0,0,1834076,N
POL0000050,CUST007107,PP01,RGN036,AGT0164,Mohit Patel,521485,111102,2012-09-29,2012-09-24,Q3,2012,9,2032-09-29,2032-09-29,Lapsed,2019-08-24,7,20,Y,0,,17942,0,777714.0,0,0,0,777714,N
POL0000051,CUST003524,PP04,RGN039,AGT0175,Akash Pandey,557337,64214,2018-04-09,2018-04-04,Q2,2018,4,2033-04-09,2033-04-09,Active,2025-05-02,11,15,N,60,,12677,0,460200.33,0,0,0,706354,N
POL0000052,CUST001841,PP07,RGN029,AGT0057,Poonam Verma,3360053,59110,2011-08-13,2011-08-11,Q3,2011,8,2050-08-13,2050-08-13,Active,2025-04-01,31,39,Y,0,,6354,0,817688.33,0,0,0,1832410,N
POL0000053,CUST008423,PP06,RGN027,AGT0281,Nikhil Mishra,6979521,58167,2016-01-16,2016-01-16,Q1,2016,1,2054-01-16,2054-01-16,Active,2025-04-28,18,38,Y,0,,8532,0,547739.25,0,0,0,1047006,N
POL0000054,CUST000634,PP06,RGN039,AGT0220,Swati Iyer,6125666,94325,2011-02-11,2011-02-09,Q1,2011,2,2048-02-11,2048-02-11,Active,2025-03-29,36,37,Y,0,,12360,0,1351991.67,0,0,0,3395700,Y
POL0000055,CUST006658,PP10,RGN048,AGT0068,Suresh Verma,2800606,18754,2014-10-24,2014-10-19,Q4,2014,10,2036-10-24,2036-10-24,Active,2025-04-29,21,22,Y,0,,1613,0,200042.67,0,0,0,393834,N
POL0000056,CUST000597,PP10,RGN050,AGT0128,Amrita Dubey,1988155,21564,2018-04-09,2018-04-08,Q2,2018,4,2028-04-09,2028-04-09,Active,2025-05-02,9,10,Y,0,,3919,0,154542.0,0,0,0,194076,N
POL0000057,CUST002818,PP03,RGN005,AGT0189,Karan Rajan,5542231,59078,2011-05-24,2011-05-23,Q2,2011,5,2025-05-24,2025-05-24,Matured,2019-04-12,8,14,N,60,,8238,0,472624.0,0,0,1119895,472624,N
POL0000058,CUST003181,PP03,RGN011,AGT0155,Deepak Jadhav,1414268,18733,2010-04-19,2010-04-18,Q2,2010,4,2020-04-19,2020-04-19,Matured,2017-03-13,7,10,N,60,,3373,0,131131.0,0,47456,333229,131131,N
POL0000059,CUST009658,PP09,RGN047,AGT0164,Manoj Dubey,5958701,56515,2018-06-14,2018-06-10,Q2,2018,6,2032-06-14,2032-06-14,Active,2025-05-08,7,14,N,60,,8748,0,395605.0,0,0,0,395605,N
POL0000060,CUST003349,PP02,RGN048,AGT0060,Nandini Rao,451160,94455,2015-06-12,2015-06-09,Q2,2015,6,2032-06-12,2032-06-12,Active,2020-02-16,5,17,Y,0,,15214,0,448661.25,3,0,0,472275,N
POL0000061,CUST009536,PP03,RGN025,AGT0094,Rahul Jadhav,3137858,57012,2019-09-09,2019-09-04,Q3,2019,9,2024-09-09,2024-09-09,Matured,2024-08-13,5,5,N,60,,6084,0,285060.0,0,0,592406,285060,N
POL0000062,CUST002072,PP01,RGN037,AGT0252,Sarika Verma,1789909,98008,2015-01-26,2015-01-23,Q1,2015,1,2030-01-26,2030-01-26,Lapsed,2024-12-04,15,15,Y,0,,13268,0,980080.0,5,0,0,1470120,N
POL0000063,CUST003496,PP06,RGN016,AGT0115,Karan Balaji,477940,91935,2015-10-18,2015-10-16,Q4,2015,10,2052-10-18,2052-10-18,Active,2025-04-28,25,37,Y,0,,16649,0,888705.0,0,0,0,2298375,N
POL0000064,CUST003777,PP08,RGN021,AGT0052,Vikram Srivastava,4236414,19672,2015-07-27,2015-07-24,Q3,2015,7,2038-07-27,2038-07-27,Active,2025-05-05,14,23,Y,0,,3174,0,195080.67,0,0,0,275408,N
POL0000065,CUST001786,PP09,RGN004,AGT0214,Harsha More,684376,51124,2011-09-09,2011-09-09,Q3,2011,9,2017-09-09,2017-09-09,Matured,2016-03-16,5,6,N,60,,6965,0,234318.33,5,30951,494947,255620,N
POL0000066,CUST009709,PP07,RGN023,AGT0287,Akash Mishra,5877402,59554,2010-05-08,2010-05-03,Q2,2010,5,2038-05-08,2038-05-08,Active,2024-02-24,14,28,Y,0,,5020,0,833756.0,0,0,0,833756,N
POL0000067,CUST001572,PP10,RGN009,AGT0279,Shruti Shah,4596939,50088,2023-10-31,2023-10-25,Q4,2023,10,2036-10-31,2036-10-31,Active,2025-06-22,7,13,N,0,,6275,0,83480.0,0,0,0,350616,N
POL0000068,CUST001732,PP01,RGN012,AGT0203,Sapna Dubey,1811308,87136,2011-10-30,2011-10-25,Q4,2011,10,2025-10-30,2025-10-30,Active,2019-09-18,8,14,Y,0,,12790,0,697088.0,0,0,0,697088,N
POL0000069,CUST007828,PP10,,AGT0040,Nikhil Hegde,1215005,113647,2016-03-28,2016-03-28,Q1,2016,3,2034-03-28,2034-03-28,Active,2025-02-09,9,18,Y,0,,14352,0,1022823.0,0,0,0,1022823,N
POL0000070,CUST003639,PP03,RGN046,AGT0297,Suresh Krishnan,1326833,56094,2022-06-15,2022-06-10,Q2,2022,6,2039-06-15,2039-06-15,Active,2025-05-30,10,17,N,60,,5562,0,168282.0,0,0,0,560940,N
POL0000071,CUST009337,PP07,RGN042,AGT0263,Meera Krishnan,1740713,48523,2010-05-31,2010-05-25,Q2,2010,5,2044-05-31,2044-05-31,Active,2016-04-29,6,34,Y,0,,8112,0,291138.0,0,0,0,291138,N
POL0000072,CUST006925,PP07,RGN006,AGT0196,Pradeep Rao,3313295,57929,2012-03-05,2012-02-29,Q1,2012,3,2052-03-05,2052-03-05,Active,2019-11-24,8,40,Y,0,,6798,0,453777.17,2,0,0,463432,N
POL0000073,CUST004677,PP05,RGN004,AGT0028,Sunil Mishra,1022882,95676,2019-09-06,2019-09-05,Q3,2019,9,2028-09-06,2028-09-06,Surrendered,2024-03-13,5,9,N,60,,9888,394597,438515.0,5,0,0,478380,N
POL0000074,CUST001139,PP06,RGN017,AGT0196,Karan More,2316525,22868,2010-12-10,2010-12-09,Q4,2010,12,2043-12-10,2043-12-10,Lapsed,2024-10-27,18,33,Y,0,,3635,0,322057.67,5,0,0,411624,N
POL0000075,CUST002477,PP03,RGN017,AGT0056,Sapna Saxena,1667424,62922,2019-06-11,2019-06-06,Q2,2019,6,2024-06-11,2024-06-11,Matured,2024-05-15,5,5,N,60,,12329,0,314610.0,0,0,819903,314610,N
POL0000076,CUST006745,PP09,RGN021,AGT0032,Sunita Pandey,395297,95911,2022-09-13,2022-09-07,Q3,2022,9,2027-09-13,2027-09-13,Active,2025-05-30,5,5,N,60,,9483,0,263755.25,0,0,0,479555,N
POL0000077,CUST005068,PP09,RGN033,AGT0291,Geeta Shetty,3643429,53265,2020-02-02,2020-01-27,Q1,2020,2,2025-02-02,2025-02-02,Matured,2025-01-06,5,5,N,60,,9944,0,266325.0,0,0,451689,266325,N
POL0000078,CUST009953,PP04,RGN045,AGT0230,Uday Malhotra,558851,55569,2020-09-15,2020-09-10,Q3,2020,9,2027-09-15,2027-09-15,Active,2025-05-22,6,7,N,60,,8757,0,263952.75,0,0,0,333414,N
POL0000079,CUST007244,PP06,RGN002,AGT0257,Gaurav Agarwal,1879167,93201,2018-04-28,2018-04-28,Q2,2018,4,2039-04-28,2039-04-28,Lapsed,2024-12-22,17,21,Y,0,,9007,0,629106.75,5,0,0,1584417,N
POL0000080,CUST009417,PP08,RGN011,AGT0158,Gaurav Kulkarni,1551423,49892,2023-01-07,2022-12-31,Q1,2023,1,2044-01-07,2044-01-07,Active,2025-05-26,12,21,N,0,,5724,0,120572.33,0,0,0,598704,N
POL0000081,CUST005594,PP04,RGN049,AGT0229,Deepa Dubey,516542,49610,2019-05-06,2019-05-05,Q2,2019,5,2031-05-06,2031-05-06,Claimed-Other,2025-05-04,9,12,N,60,Maturity,7247,0,301794.17,0,0,0,446490,N
POL0000082,CUST000414,PP09,RGN029,AGT0113,Isha Patil,788977,63757,2017-03-19,2017-03-12,Q1,2017,3,2023-03-19,2023-03-19,Matured,2022-02-21,5,6,N,60,,6014,0,318785.0,0,0,737233,318785,N
POL0000083,CUST005569,PP06,RGN044,AGT0014,Vijay Kapoor,1006432,18632,2018-05-11,2018-05-05,Q2,2018,5,2054-05-11,2054-05-11,Active,2025-05-04,21,36,Y,0,,2546,0,131976.67,0,0,0,391272,N
POL0000084,CUST009483,PP03,RGN026,AGT0102,Manoj Venkatesh,606206,18634,2016-02-14,2016-02-11,Q1,2016,2,2035-02-14,2035-02-14,Lapsed,2025-01-27,10,19,N,60,,2503,0,169258.83,3,0,0,186340,N
POL0000085,CUST001081,PP09,RGN049,AGT0275,Kunal Patel,510206,49988,2018-04-25,2018-04-21,Q2,2018,4,2025-04-25,2025-04-25,Matured,2023-03-30,5,7,N,60,,5497,0,249940.0,0,0,533639,249940,N
POL0000086,CUST002860,PP10,RGN009,AGT0102,Sunil Joshi,5077749,60173,2017-04-13,2017-04-08,Q2,2017,4,2035-04-13,2035-04-13,Active,2025-05-01,16,18,Y,0,,6966,0,491412.83,0,0,0,962768,N
POL0000087,CUST005651,PP06,RGN017,AGT0249,Sarika Kulkarni,3535770,17303,2013-01-16,2013-01-15,Q1,2013,1,2040-01-16,2040-01-16,Active,2025-02-12,18,27,Y,0,,2985,0,211961.75,2,0,0,311454,Y
POL0000088,CUST004954,PP06,RGN046,AGT0045,Divya Nair,701499,50146,2010-07-30,2010-07-30,Q3,2010,7,2031-07-30,2031-07-30,Active,2025-04-12,20,21,Y,0,,8642,0,748011.17,0,0,0,1002920,N
POL0000089,CUST009928,PP06,RGN031,AGT0235,Karan Venkatesh,329164,59374,2023-09-23,2023-09-21,Q3,2023,9,2059-09-23,2059-09-23,Active,2025-06-14,28,36,N,0,,11715,0,103904.5,0,0,0,1662472,N
POL0000090,CUST003534,PP03,RGN012,AGT0255,Ramesh Kapoor,426404,19574,2016-08-04,2016-08-03,Q3,2016,8,2027-08-04,2027-08-04,Lapsed,2022-12-31,7,11,N,60,,1941,0,127231.0,6,0,0,137018,N
POL0000091,CUST000825,PP02,RGN013,AGT0004,Shruti Kapoor,2341557,59594,2021-12-26,2021-12-22,Q4,2021,12,2038-12-26,2038-12-26,Active,2025-06-08,15,17,Y,0,,5281,0,208579.0,0,0,0,893910,N
POL0000092,CUST001904,PP07,RGN020,AGT0225,Sapna Sharma,820363,56989,2014-09-29,2014-09-26,Q3,2014,9,2037-09-29,2037-09-29,Lapsed,2025-01-04,22,23,Y,0,,4681,0,593635.42,4,0,0,1253758,N
POL0000093,CUST004719,PP10,RGN030,AGT0014,Rohit More,2879036,55901,2017-06-06,2017-05-31,Q2,2017,6,2040-06-06,2040-06-06,Active,2025-04-25,17,23,Y,0,,6159,0,447208.0,0,0,0,950317,N
POL0000094,CUST005473,PP04,RGN028,AGT0231,Harsha More,616731,59402,2013-02-14,2013-02-12,Q1,2013,2,2020-02-14,2020-02-14,Matured,2019-01-14,6,7,N,60,,10897,0,356412.0,0,0,641344,356412,N
POL0000095,CUST007575,PP04,RGN024,AGT0234,Pooja Joshi,858341,114739,2011-12-11,2011-12-05,Q4,2011,12,2025-12-11,2025-12-11,Active,2022-10-14,11,14,N,60,,21623,0,1262129.0,0,0,0,1262129,N
POL0000096,CUST001747,PP07,RGN007,AGT0021,Prakash Rajan,4047576,20707,2022-02-01,2022-01-30,Q1,2022,2,2060-02-01,2060-02-01,Active,2025-05-16,21,38,Y,0,,2667,0,69023.33,0,0,0,434847,N
POL0000097,CUST003477,PP09,RGN008,AGT0177,Lakshmi Saxena,2766634,88948,2022-04-04,2022-03-29,Q2,2022,4,2033-04-04,2033-04-04,Active,2025-05-18,7,11,N,60,,13858,0,281668.67,0,0,0,622636,N
POL0000098,CUST000295,PP08,RGN008,AGT0106,Zara Rao,1269823,52416,2019-11-05,2019-10-31,Q4,2019,11,2042-11-05,2042-11-05,Active,2024-10-09,5,23,Y,0,,10023,0,262080.0,0,0,0,262080,N
POL0000099,CUST006901,PP04,RGN006,AGT0136,Sandeep Subramanian,530718,89196,2023-02-09,2023-02-03,Q1,2023,2,2035-02-09,2035-02-09,Active,2025-05-29,10,12,N,60,,17209,0,208124.0,0,0,0,891960,N
POL0000100,CUST008896,PP03,RGN042,AGT0111,Ravi Pillai,1826197,17955,2017-09-16,2017-09-16,Q3,2017,9,2027-09-16,2027-09-16,Claimed-Other,2024-08-10,7,10,N,60,Critical Illness,1726,0,125685.0,0,0,0,125685,N
POL0000101,CUST008825,PP05,RGN042,AGT0184,Kavya Shetty,1062418,18463,2012-07-29,2012-07-29,Q3,2012,7,2019-07-29,2019-07-29,Matured,2017-05-04,5,7,N,60,,2026,0,89237.83,2,0,121340,92315,N
POL0000102,CUST008499,PP08,RGN005,AGT0233,Nikhil Mishra,619281,18539,2020-10-08,2020-10-04,Q4,2020,10,2041-10-08,2041-10-08,Lapsed,2024-12-16,7,21,Y,0,,3332,0,78790.75,5,0,0,129773,N
POL0000103,CUST004505,PP01,RGN032,AGT0001,Shweta Verma,398500,102833,2023-07-27,2023-07-20,Q3,2023,7,2034-07-27,2034-07-27,Active,2025-06-16,7,11,N,0,,12637,0,197096.58,0,0,0,719831,Y
POL0000104,CUST005645,PP07,RGN045,AGT0062,Uday Mehta,435489,58053,2012-02-19,2012-02-14,Q1,2012,2,2041-02-19,2041-02-19,Active,2025-04-11,25,29,Y,0,,4890,0,774040.0,0,0,0,1451325,N
POL0000105,CUST008807,PP01,RGN013,AGT0196,Deepak Patil,2474987,62959,2019-09-08,2019-09-06,Q3,2019,9,2036-09-08,2036-09-08,Active,2024-08-12,5,17,Y,0,,10567,0,314795.0,0,0,0,314795,N
POL0000106,CUST005773,PP08,RGN009,AGT0105,Divya Kumar,8812285,100190,2020-10-22,2020-10-19,Q4,2020,10,2037-10-22,2037-10-22,Active,2025-05-29,11,17,Y,0,,18266,0,467553.33,0,0,0,1102090,N
POL0000107,CUST001399,PP04,RGN005,AGT0091,Mohit Venkatesh,1369680,90124,2022-05-20,2022-05-13,Q2,2022,5,2036-05-20,2036-05-20,Active,2025-06-03,10,14,N,60,,16624,0,277882.33,0,0,0,901240,N
POL0000108,CUST006649,PP09,RGN020,AGT0232,Meera Bose,568373,21892,2018-02-10,2018-02-04,Q1,2018,2,2033-02-10,2033-02-10,Active,2025-05-04,14,15,N,60,,3483,0,160541.33,0,0,0,306488,N
POL0000109,CUST007654,PP03,RGN005,AGT0280,Siddharth Rajan,846379,50500,2013-01-12,2013-01-10,Q1,2013,1,2021-01-12,2021-01-12,Matured,2020-12-01,8,8,N,60,,4682,0,404000.0,0,0,761832,404000,Y
POL0000110,CUST004253,PP03,RGN031,AGT0207,Varun Joshi,602675,59922,2018-04-12,2018-04-11,Q2,2018,4,2026-04-12,2026-04-12,Active,2023-03-17,5,8,N,60,,8210,0,299610.0,0,0,0,299610,N
POL0000111,CUST007225,PP04,RGN048,AGT0266,Ramesh Kapoor,878561,49820,2024-03-04,2024-03-01,Q1,2024,3,2039-03-04,2039-03-04,Active,2025-05-28,6,15,N,60,,7851,0,62275.0,0,0,0,298920,N
POL0000112,CUST009766,PP01,RGN009,AGT0032,Nikhil Mishra,2910747,20945,2010-07-29,2010-07-25,Q3,2010,7,2025-07-29,2025-07-29,Active,2025-04-11,15,15,Y,0,,2310,0,312429.58,0,0,0,314175,N
