customer_id,customer_name,phone_number,gender,marital_status,income,income_band,occupation,occupation_risk,age_at_entry,preferred_language,region_id
CUST000041,Kunal Patil,7029922809,Female,Married,3660303,High,Business Owner,Medium,51,Hindi,RGN035
CUST000042,Deepak Mishra,7024286990,Male,Married,3013689,High,Business Owner,Medium,38,Hindi,RGN049
CUST000043,Varun Chakraborty,8137977236,Female,Married,306197,Middle,Teacher,Low,26,Hindi,RGN005
CUST000044,Sunita Menon,7929842579,Male,Married,2601091,High,Software Engineer,Low,43,Hindi,RGN015
CUST000045,Aryan Naik,6366210388,Female,Single,1243198,Upper-Middle,Software Engineer,Low,40,Hindi,RGN048
CUST000046,Deepak Shetty,9291279908,Male,Married,397032,Middle,Driver,High,30,Hindi,RGN047
CUST000047,Deepa Pandey,6172980686,Male,Single,142479,Low,Driver,High,38,Tamil,RGN024
CUST000048,Suresh Dubey,8086376599,Female,Single,687569,Middle,Software Engineer,Low,33,Hindi,RGN041
CUST000049,Vinod Agarwal,6624731498,Female,Married,3368733,High,Pilot,High,39,Hindi,RGN037
CUST000050,Santosh Kumar,9430098180,Female,Married,955602,Upper-Middle,Software Engineer,Low,45,Hindi,RGN045
CUST000051,Pradeep Shah,9356512694,Male,Married,1552573,Upper-Middle,Software Engineer,Low,57,Hindi,RGN026
CUST000052,Sandeep Desai,8869594636,Male,Married,225909,Low,Front Desk Executive,Low,23,Hindi,RGN003
CUST000053,Aarav Singh,9258874495,Male,Married,155388,Low,Farmer,Medium,63,Telugu,RGN018
CUST000054,Bhavna Mehta,9213721386,Male,Married,184314,Low,Front Desk Executive,Low,18,Hindi,RGN035
CUST000055,Gaurav Patel,8890260127,Female,Single,1210078,Upper-Middle,Software Engineer,Low,36,Hindi,RGN036
CUST000056,Anjali Gupta,9114351906,Male,Married,3316930,High,Business Owner,Medium,45,Hindi,RGN007
CUST000057,Neha Hegde,9984902770,Male,Divorced,234015,Low,Hardware Technician,Medium,41,Hindi,RGN040
CUST000058,Zara Chakraborty,7843098839,Male,Married,283284,Low,Teacher,Low,30,Hindi,RGN039
CUST000059,Gaurav Das,7053021465,Female,Single,108115,Low,Driver,High,35,Telugu,RGN018
CUST000060,Anjali Venkatesh,9693801184,Male,Married,286512,Low,Driver,High,32,Hindi,RGN015
CUST000061,Prakash Patil,8543937690,Male,Single,941388,Upper-Middle,Software Engineer,Low,30,Hindi,RGN004
CUST000062,Siddharth Rao,8268181845,Male,Married,580433,Middle,Business Owner,Medium,48,Hindi,RGN037
CUST000063,Sandeep Jadhav,6848947697,Male,Married,161964,Low,Farmer,Medium,42,Hindi,RGN033
CUST000064,Anjali Verma,7577907141,Male,Married,118504,Low,Front Desk Executive,Low,29,Hindi,RGN034
CUST000065,Amrita Verma,9335658804,Female,Divorced,2325036,High,Business Owner,Medium,48,Hindi,RGN050
CUST000066,Lakshmi Gupta,7416518275,Female,Single,518915,Middle,Teacher,Low,41,Hindi,RGN011
CUST000067,Shweta Rajan,8394237333,Male,Single,164992,Low,Farmer,Medium,47,Hindi,RGN016
CUST000068,Akash Gowda,83333XXXXX,Female,Single,123421,Low,Front Desk Executive,Low,45,Hindi,RGN014
CUST000069,Nikhil Joshi,6790807595,Male,Married,263647,Low,Driver,High,28,Hindi,RGN025
CUST000070,Aditya Chakraborty,9947284639,Male,Married,78927,Low,Farmer,Medium,31,Kannada,RGN022
CUST000071,Kritika Desai,7086780856,Male,Divorced,110476,Low,Farmer,Medium,46,Tamil,RGN024
CUST000072,Rajesh Joshi,7718750036,Female,Married,1661456,Upper-Middle,Software Engineer,Low,45,Kannada,RGN021
CUST000073,Ravi Chakraborty,6559428434,Male,Divorced,155167,Low,Farmer,Medium,37,Hindi,RGN047
CUST000074,Manoj Dubey,9955276365,Male,Married,156471,Low,Driver,High,39,Hindi,RGN048
CUST000075,Neha Malhotra,8647292931,Male,Married,151513,Low,Driver,High,53,Hindi,RGN027
CUST000076,Santosh Chaudhary,8386632270,Male,Married,2238202,High,Software Engineer,Low,30,Hindi,RGN039
CUST000077,Meera Patil,7672885744,Male,Divorced,226797,Low,Real Estate Agent,Medium,44,Hindi,RGN042
CUST000078,Arjun Jadhav,6612034717,Male,Married,284572,Low,Teacher,Low,35,Hindi,RGN038
CUST000079,Sapna Pillai,8455884506,Female,Married,823551,Upper-Middle,Real Estate Agent,Medium,35,Hindi,RGN034
CUST000080,Meera Dubey,6593998245,Male,Single,2156399,High,Software Engineer,Low,51,Hindi,RGN037
CUST000081,Rekha Gupta,8877169472,Male,Married,621762,Middle,Software Engineer,Low,47,Hindi,RGN030
CUST000082,Sapna Iyer,7569961125,Female,Married,1717999,Upper-Middle,Software Engineer,Low,47,Tamil,RGN024
CUST000083,Vishal Kulkarni,7554496475,Female,Married,1058056,Upper-Middle,Software Engineer,Low,53,Hindi,RGN047
CUST000084,Aditya Mishra,9622023413,Female,Single,231728,Low,Hardware Technician,Medium,38,Hindi,RGN044
CUST000085,Neha Gupta,7611178006,Male,Single,3887128,High,Business Owner,Medium,46,Hindi,RGN013
CUST000086,Nandini Srivastava,6149216433,Male,Married,1140440,Upper-Middle,Business Owner,Medium,34,Hindi,RGN033
CUST000087,Akash Singh,8722820055,Male,Single,1256065,Upper-Middle,Business Owner,Medium,41,Kannada,RGN022
CUST000088,Geeta Das,9784872829,Female,Married,167749,Low,Front Desk Executive,Low,36,Hindi,RGN014
CUST000089,Shweta Tripathi,9968845783,Female,Married,235944,Low,Hardware Technician,Medium,39,Hindi,RGN006
CUST000090,Vijay Desai,6745642400,Male,Married,175916,Low,Teacher,Low,45,Hindi,RGN008
CUST000091,Shruti Bose,7547807740,Male,Married,179222,Low,Hardware Technician,Medium,28,Hindi,RGN016
CUST000092,Arjun Shetty,9493085368,Male,Divorced,407244,Middle,Real Estate Agent,Medium,63,Hindi,RGN045
CUST000093,Kunal Chaudhary,9632663416,Male,Married,958626,Upper-Middle,Software Engineer,Low,25,Hindi,RGN004
CUST000094,Nandini Iyer,7894484631,Male,Married,1050193,Upper-Middle,Doctor,Low,23,Hindi,RGN042
CUST000095,Aarav Joshi,7241797497,Female,Married,432036,Middle,Teacher,Low,51,Hindi,RGN033
CUST000096,Divya Rajan,7502080214,Female,Married,242173,Low,Teacher,Low,47,Hindi,RGN016
CUST000097,Sarika Das,8270312073,Female,Married,821509,Upper-Middle,Software Engineer,Low,45,Hindi,RGN004
CUST000098,Sunita Tiwari,8647570512,Female,Married,265422,Low,Driver,High,45,Hindi,RGN049
CUST000099,Pooja Chakraborty,6461872346,Male,Single,159540,Low,Front Desk Executive,Low,37,Hindi,RGN036
CUST000100,Ravi Mishra,6136730371,Male,Single,209750,Low,Hardware Technician,Medium,27,Hindi,RGN005
CUST000101,Aarav Krishnan,7764520881,Female,Married,222148,Low,Farmer,Medium,38,Hindi,RGN037
CUST000102,Sanjay More,8743503136,Male,Married,920857,Upper-Middle,Software Engineer,Low,29,Hindi,RGN016
CUST000103,Gaurav Saxena,8024916300,Male,Married,691038,Middle,Real Estate Agent,Medium,49,Telugu,RGN018
CUST000104,Shweta Tripathi,9925132719,Male,Single,1318532,Upper-Middle,Business Owner,Medium,36,Hindi,RGN045
CUST000105,Isha Tiwari,8005281273,Male,Single,61120,Low,Farmer,Medium,28,Telugu,RGN018
CUST000106,Vinod Menon,8857306524,Male,Married,154020,Low,Farmer,Medium,34,Oriya,RGN032
CUST000107,Sandeep Krishnan,6778487392,Male,Married,1627071,Upper-Middle,Software Engineer,Low,42,Hindi,RGN008
CUST000108,Rohit Tiwari,8574982182,Male,Married,293605,Low,Teacher,Low,31,Tamil,RGN023
CUST000109,Mohit Gupta,9448570862,Female,Married,1521996,Upper-Middle,Software Engineer,Low,28,Hindi,RGN030
CUST000110,Manoj Tiwari,6959351863,Female,Married,226933,Low,Farmer,Medium,40,Hindi,RGN033
CUST000111,Nikhil Patil,9829456511,Female,Married,261711,Low,Front Desk Executive,Low,40,Oriya,RGN031
CUST000112,Rohit Desai,6022031731,Female,Married,810113,Upper-Middle,Software Engineer,Low,31,Hindi,RGN012
CUST000113,Aditi Joshi,6967899405,Female,Divorced,1476025,Upper-Middle,Business Owner,Medium,32,Hindi,RGN046
CUST000114,Ramesh Joshi,7910371705,Male,Married,127909,Low,Farmer,Medium,40,Hindi,RGN008
CUST000115,Poonam Shetty,9509480141,Female,Married,1118202,Upper-Middle,Real Estate Agent,Medium,20,Hindi,RGN045
CUST000116,Santosh Naik,7811386338,Female,Single,177595,Low,Driver,High,21,Hindi,RGN026
CUST000117,Siddharth Shah,7928861957,Male,Married,1027986,Upper-Middle,Software Engineer,Low,29,Hindi,RGN005
CUST000118,Siddharth Subramanian,9122868528,Female,Married,2635690,High,Software Engineer,Low,35,Hindi,RGN005
CUST000119,Meera Jadhav,9558556659,Female,Married,3162017,High,Doctor,Low,41,Hindi,RGN007
CUST000120,Akash Menon,7983684577,Male,Single,2598656,High,Software Engineer,Low,55,Hindi,RGN029
CUST000121,Yash Menon,9004908240,Male,Single,1240240,Upper-Middle,Software Engineer,Low,48,Hindi,RGN011
CUST000122,Meera Subramanian,8335048889,Male,Married,1257578,Upper-Middle,Software Engineer,Low,36,Hindi,RGN035
CUST000123,Priya Tiwari,7107522459,Male,Married,4059390,High,Pilot,High,37,Hindi,RGN041
CUST000124,Rahul Saxena,7344196931,Male,Married,615115,Middle,Teacher,Low,25,Hindi,RGN009
CUST000125,Aditya Deshpande,8727919409,Female,Divorced,121126,Low,Front Desk Executive,Low,37,Oriya,RGN032
CUST000126,Anil Nair,9105566139,Male,Married,1612177,Upper-Middle,Software Engineer,Low,34,Hindi,RGN030
CUST000127,Rekha Balaji,6604805892,Female,Single,655537,Middle,Teacher,Low,41,Oriya,RGN031
CUST000128,Aditya Rao,8832067998,Male,Single,289840,Low,Teacher,Low,28,Hindi,RGN039
CUST000129,Kavya Gowda,6364622517,Male,Widowed,1751413,Upper-Middle,Software Engineer,Low,44,Telugu,RGN018
CUST000130,Kavya Verma,6864168622,Male,Married,326043,Middle,Teacher,Low,56,Kannada,RGN021
CUST000131,Deepak Krishnan,9837693898,Male,Married,530964,Middle,Doctor,Low,36,Hindi,RGN044
CUST000132,Deepa Kumar,7314659116,Male,Single,189065,Low,Driver,High,42,Hindi,RGN046
CUST000133,Deepak Gowda,9553559042,Male,Married,154900,Low,Front Desk Executive,Low,46,Hindi,RGN040
CUST000134,Kritika Sharma,8979270335,Female,Married,558305,Middle,Teacher,Low,33,Hindi,RGN037
CUST000135,Sneha Gowda,7110392405,Male,Divorced,1385862,Upper-Middle,Software Engineer,Low,40,Hindi,RGN002
CUST000136,Yash Saxena,6477053833,Male,Married,160806,Low,Farmer,Medium,38,Hindi,RGN033
CUST000137,Kritika Srivastava,8879206980,Female,Single,1392224,Upper-Middle,Software Engineer,Low,39,Hindi,RGN049
CUST000138,Shweta Subramanian,8204394070,Male,Married,822258,Upper-Middle,Software Engineer,Low,28,Hindi,RGN014
CUST000139,Varun Venkatesh,66451XXXXX,Male,Single,146078,Low,Farmer,Medium,38,Hindi,RGN026
CUST000140,Siddharth Das,6579812387,Female,Widowed,2852168,High,Doctor,Low,43,Hindi,RGN029
CUST000141,Aarav Menon,6038457620,Male,Single,277332,Low,Teacher,Low,55,Hindi,RGN029
CUST000142,Prakash Kulkarni,8554384046,Female,Married,1974652,Upper-Middle,Software Engineer,Low,49,Hindi,RGN011
CUST000143,Bhavna Sharma,6843256216,Female,Single,120722,Low,Driver,High,63,Hindi,RGN044
CUST000144,Neha Joshi,7639264957,Male,Single,2127818,High,Software Engineer,Low,28,Hindi,RGN025
CUST000145,Nikhil Dubey,7329832482,Female,Single,1168670,Upper-Middle,Software Engineer,Low,48,Hindi,RGN005
CUST000146,Sunil Chaudhary,9292518812,Female,Divorced,2970623,High,Software Engineer,Low,40,Hindi,RGN015
CUST000147,Uday Kumar,8205664742,Female,Married,1019305,Upper-Middle,Software Engineer,Low,64,Tamil,RGN024
CUST000148,Tanvi Shetty,7122099499,Female,Married,347313,Middle,Front Desk Executive,Low,28,Hindi,RGN013
CUST000149,Manoj Pillai,7933051728,Male,Single,1056805,Upper-Middle,Business Owner,Medium,27,Hindi,RGN015
CUST000150,Vijay Rajan,9526772233,Female,Married,3085636,High,Doctor,Low,30,Hindi,RGN005
CUST000151,Shweta Tripathi,6604633312,Female,Widowed,1529871,Upper-Middle,Software Engineer,Low,18,Hindi,RGN007
CUST000152,Sandeep Naik,9975736609,Male,Divorced,351918,Middle,Teacher,Low,31,Hindi,RGN005
CUST000153,Suresh Desai,9569998808,Male,Single,582884,Middle,Real Estate Agent,Medium,28,Hindi,RGN030
CUST000154,Santosh Tiwari,6770388608,Female,Married,430942,Middle,Business Owner,Medium,39,Hindi,RGN039
CUST000155,Sandeep Joshi,9803476447,Female,Single,3614778,High,Doctor,Low,42,Hindi,RGN035
CUST000156,Ramesh Naik,7649082771,Male,Married,329437,Middle,Driver,High,60,Hindi,RGN005
CUST000157,Isha Menon,6298266570,Male,Single,201492,Low,Hardware Technician,Medium,49,Oriya,RGN032
CUST000158,Sanjay Saxena,7793714521,Male,Married,57563,Low,Farmer,Medium,31,Hindi,RGN016
CUST000159,Yash Nair,6175186892,Male,Married,748767,Middle,Software Engineer,Low,27,Hindi,RGN004
CUST000160,Mohit Verma,9860259222,Female,Married,345755,Middle,Teacher,Low,43,Hindi,RGN043
CUST000161,Ananya Malhotra,7064474212,Female,Married,2931569,High,Software Engineer,Low,22,Hindi,RGN043
CUST000162,Pradeep Joshi,7094077780,Male,Divorced,267716,Low,Hardware Technician,Medium,59,Hindi,RGN004
CUST000163,Kavya Mehta,9339776719,Male,Single,229573,Low,Teacher,Low,52,Hindi,RGN010
CUST000164,Geeta Malhotra,6384983022,Female,Married,1698692,Upper-Middle,Software Engineer,Low,32,Hindi,RGN045
CUST000165,Vikram Patil,6502099451,Male,Single,473493,Middle,Teacher,Low,18,Hindi,RGN029
CUST000166,Aarav Naik,6162249998,Male,Single,959623,Upper-Middle,Doctor,Low,54,Hindi,RGN027
CUST000167,Meera Balaji,7795014556,Female,Married,1229700,Upper-Middle,Real Estate Agent,Medium,36,Hindi,RGN049
CUST000168,Pradeep Chakraborty,6681472145,Male,Widowed,1433230,Upper-Middle,Real Estate Agent,Medium,52,Hindi,RGN027
CUST000169,Meera Kapoor,9833901981,Male,Divorced,1723451,Upper-Middle,Software Engineer,Low,18,Telugu,RGN020
CUST000170,Priya Dubey,9946954899,Male,Married,184874,Low,Farmer,Medium,30,Oriya,RGN031
CUST000171,Divya Reddy,8299787729,Female,Single,325956,Middle,Front Desk Executive,Low,38,Hindi,RGN007
CUST000172,Nikhil Singh,7430107139,Male,Married,850351,Upper-Middle,Software Engineer,Low,38,Hindi,RGN025
CUST000173,Shruti Srivastava,9605583034,Male,Single,165800,Low,Farmer,Medium,32,Hindi,RGN009
CUST000174,Santosh Srivastava,8144885015,Male,Married,1170136,Upper-Middle,Software Engineer,Low,45,Hindi,RGN043
CUST000175,Zara Chakraborty,8699023557,Female,Married,1084893,Upper-Middle,Software Engineer,Low,25,Hindi,RGN012
CUST000176,Varun Srivastava,9027278576,Male,Married,130520,Low,Driver,High,36,Hindi,RGN038
CUST000177,Sanjay Bose,6849588039,Male,Married,3187013,High,Business Owner,Medium,39,Hindi,RGN037
CUST000178,Manoj Patel,8512405682,Male,Married,3720097,High,Business Owner,Medium,44,Hindi,RGN039
CUST000179,Swati Mehta,9291450461,Male,Single,2292462,High,Business Owner,Medium,46,Hindi,RGN004
CUST000180,Shweta Kumar,9357438421,Female,Married,257895,Low,Farmer,Medium,24,Telugu,RGN019
CUST000181,Neha Gupta,8031780782,Male,Married,1937060,Upper-Middle,Business Owner,Medium,19,Hindi,RGN039
CUST000182,Priya Krishnan,7578452182,Male,Married,1183927,Upper-Middle,Doctor,Low,53,Hindi,RGN027
CUST000183,Arjun Pandey,7076810409,Male,Single,562551,Middle,Teacher,Low,41,Hindi,RGN005
CUST000184,Tanvi Joshi,6570184094,Female,Single,1298683,Upper-Middle,Software Engineer,Low,29,Oriya,RGN032
CUST000185,Sneha Deshpande,7533448571,Male,Married,99928,Low,Driver,High,56,Kannada,RGN022
CUST000186,Vishal Saxena,8224109881,Male,Married,392680,Middle,Teacher,Low,39,Hindi,RGN040
CUST000187,Nikhil Chaudhary,7858542493,Male,Married,699018,Middle,Doctor,Low,52,Hindi,RGN028
CUST000188,Akash Subramanian,7149587020,Female,Married,179873,Low,Farmer,Medium,38,Hindi,RGN038
CUST000189,Tanvi Gowda,9016016629,Female,Single,1048554,Upper-Middle,Software Engineer,Low,62,Hindi,RGN007
CUST000190,Vishal More,9954538179,Male,Married,1258626,Upper-Middle,Software Engineer,Low,59,Hindi,RGN030
CUST000191,Sneha Shah,7171747733,Male,Married,223789,Low,Front Desk Executive,Low,35,Hindi,RGN043
CUST000192,Nandini Srivastava,7945625577,Other,Married,824666,Upper-Middle,Real Estate Agent,Medium,49,Tamil,RGN023
CUST000193,Kavya Chakraborty,6171577245,Female,Married,719276,Middle,Software Engineer,Low,45,Hindi,RGN034
CUST000194,Manoj Deshpande,7816158148,Female,Married,279639,Low,Hardware Technician,Medium,54,Oriya,RGN031
CUST000195,Shweta Singh,9696393827,Female,Married,437927,Middle,Hardware Technician,Medium,26,Hindi,RGN037
CUST000196,Sunil Jadhav,9153966958,Male,Married,731881,Middle,Software Engineer,Low,46,Hindi,RGN014
CUST000197,Ramesh Desai,7219719975,Male,Married,433504,Middle,Hardware Technician,Medium,50,Hindi,RGN049
CUST000198,Rahul Tiwari,6724619196,Male,Divorced,503798,Middle,Teacher,Low,18,Hindi,RGN003
CUST000199,Karan Gowda,8701329022,Female,Married,137142,Low,Farmer,Medium,23,Hindi,RGN042
CUST000200,Nandini Kapoor,9846997335,Female,Married,358657,Middle,Driver,High,18,Hindi,RGN029
CUST000201,Kunal Srivastava,8946519098,Male,Married,1973645,Upper-Middle,Pilot,High,34,Tamil,RGN023
CUST000202,Isha Patel,9240580085,Male,Married,349172,Middle,Teacher,Low,46,Hindi,RGN008
CUST000203,Deepak Gupta,6403696566,Female,Single,1623791,Upper-Middle,Software Engineer,Low,56,Hindi,RGN010
CUST000204,Manoj Mishra,9683272386,Male,Married,1049353,Upper-Middle,Real Estate Agent,Medium,38,Hindi,RGN047
CUST000205,Sarika Saxena,8624220102,Female,Married,711502,Middle,Software Engineer,Low,57,Hindi,RGN012
CUST000206,Sneha Reddy,9621267969,Female,Married,2237849,High,Doctor,Low,21,Telugu,RGN020
CUST000207,Meera Srivastava,7786876532,Male,Married,322284,Middle,Teacher,Low,18,Hindi,RGN048
CUST000208,Deepa Sharma,9909738468,Male,Widowed,1521929,Upper-Middle,Software Engineer,Low,37,Hindi,RGN030
CUST000209,Sunil Patel,8009751971,Male,Single,213837,Low,Teacher,Low,42,Hindi,RGN026
CUST000210,Ramesh Balaji,7847818913,Female,Married,620784,Middle,Teacher,Low,37,Hindi,RGN039
CUST000211,Pooja Chaudhary,9189490580,Male,Single,1804022,Upper-Middle,Business Owner,Medium,18,Hindi,RGN010
CUST000212,Ramesh Hegde,9787956544,Male,Widowed,246045,Low,Teacher,Low,36,Hindi,RGN038
CUST000213,Shruti Das,7094940792,Female,Married,1340972,Upper-Middle,Software Engineer,Low,22,Hindi,RGN012
CUST000214,Priya Desai,6490471281,Male,Single,1565274,Upper-Middle,Software Engineer,Low,46,Hindi,RGN028
CUST000215,Mohit Patel,8429444019,Male,Married,416034,Middle,Real Estate Agent,Medium,42,Hindi,RGN014
CUST000216,Shruti Rao,7927524372,Male,Married,2808808,High,Software Engineer,Low,26,Hindi,RGN033
CUST000217,Santosh Krishnan,6512927663,Female,Married,275242,Low,Teacher,Low,31,Telugu,RGN020
CUST000218,Akash Reddy,9239504102,Female,Married,86951,Low,Farmer,Medium,25,Hindi,RGN046
CUST000219,Vijay Menon,9674783667,Female,Single,1361840,Upper-Middle,Software Engineer,Low,37,Kannada,RGN022
CUST000220,Santosh Hegde,8286047658,Female,Married,2951669,High,Business Owner,Medium,49,Hindi,RGN037
CUST000221,Shweta Verma,6185694544,Female,Widowed,353061,Middle,Teacher,Low,26,Hindi,RGN041
CUST000222,Yash Singh,6496739385,Female,Married,2426111,High,Doctor,Low,44,Hindi,RGN003
CUST000223,Varun Patil,7580010618,Male,Married,254013,Low,Front Desk Executive,Low,31,Kannada,RGN021
CUST000224,Ananya Iyer,6753443009,Male,Married,234971,Low,Hardware Technician,Medium,28,Hindi,RGN048
CUST000225,Kritika Mehta,6093911192,Male,Single,3595524,High,Doctor,Low,36,Hindi,RGN035
CUST000226,Mohit Kulkarni,9921244717,Female,Single,2425932,High,Doctor,Low,25,Hindi,RGN044
CUST000227,Isha Naik,8654214066,Male,Married,1550690,Upper-Middle,Doctor,Low,31,Hindi,RGN026
CUST000228,Zara Desai,8044271739,Female,Married,1744501,Upper-Middle,Software Engineer,Low,23,Hindi,RGN029
CUST000229,Shruti Deshpande,9271286391,Male,Single,2807946,High,Software Engineer,Low,61,Hindi,RGN009
CUST000230,Deepak Srivastava,9410119470,Female,Married,397487,Middle,Teacher,Low,38,Hindi,RGN047
CUST000231,Ananya Rajan,9200642569,Male,Married,189230,Low,Front Desk Executive,Low,29,Telugu,RGN019
CUST000232,Aditya Jadhav,6877661830,Male,Married,1276511,Upper-Middle,Software Engineer,Low,40,Kannada,RGN022
CUST000233,Sarika Balaji,9719855460,Male,Married,371593,Middle,Software Engineer,Low,36,Telugu,RGN020
CUST000234,Harsha Nair,6585174328,Male,Married,1433038,Upper-Middle,Software Engineer,Low,35,Oriya,RGN032
CUST000235,Deepa Deshpande,6634615717,Female,Widowed,1371260,Upper-Middle,Business Owner,Medium,45,Hindi,RGN043
CUST000236,Rajesh Pandey,7203093761,Male,Single,732394,Middle,Software Engineer,Low,47,Hindi,RGN012
CUST000237,Ananya Singh,8787005050,Female,Married,491191,Middle,Software Engineer,Low,31,Hindi,RGN006
CUST000238,Uday Das,9138782931,Female,Married,487638,Middle,Business Owner,Medium,31,Hindi,RGN050
CUST000239,Shweta Gupta,6270790320,Male,Divorced,1066040,Upper-Middle,Real Estate Agent,Medium,34,Hindi,RGN041
CUST000240,Isha Hegde,7041792911,Female,Married,410398,Middle,Teacher,Low,18,Hindi,RGN026
CUST000241,Amrita Patil,6799313656,Female,Single,2732653,High,Software Engineer,Low,19,Hindi,RGN027
CUST000242,Santosh Krishnan,6270790320,Male,Married,296108,Low,Farmer,Medium,54,Oriya,RGN031
CUST000243,Rahul Jadhav,8114262582,Male,Married,2124609,High,Business Owner,Medium,57,Telugu,RGN020
CUST000244,Vishal Shetty,9390219620,Female,Married,61600,Low,Farmer,Medium,35,Hindi,RGN010
CUST000245,Siddharth Mehta,9100219467,Male,Single,3761622,High,Doctor,Low,44,Hindi,RGN001
CUST000246,Zara Chaudhary,7324876329,Female,Married,1877751,Upper-Middle,Software Engineer,Low,41,Hindi,RGN027
CUST000247,Siddharth Shetty,6927914560,Female,Married,1418440,Upper-Middle,Doctor,Low,65,Hindi,RGN044
CUST000248,Sarika Shetty,7318195883,Male,Married,2059234,High,Software Engineer,Low,51,Hindi,RGN041
CUST000249,Rajesh Chakraborty,9340312772,Male,Married,2726742,High,Business Owner,Medium,36,Oriya,RGN031
